id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
276025,Maracaibo,2019,72,7.67226,7.9843,17415,0,,,,,,55,,
35677,"Le Havre",2008,73,7.67042,7.84198,32588,0,,,,,,63,,
266810,"Paladins of the West Kingdom",2019,74,7.66814,7.96871,18963,0,,,,,,58,,
125153,"The Gallerist",2015,75,7.66707,8.01416,15372,0,,,,,,54,,
164153,"Star Wars: Imperial Assault",2014,76,7.66226,7.95947,25206,0,,,,,,,27,
124742,"Android: Netrunner",2012,77,7.65843,7.8887,30628,0,,4,,,,,,
365717,"Clank!: Catacombs",2022,78,7.64748,8.25865,8772,0,,,,10,,52,,
209010,"Mechs vs. Minions",2016,79,7.64577,7.96195,17835,0,,,,,,68,24,
200680,"Agricola (Revised Edition)",2016,80,7.64094,7.95024,19279,0,,,,,,70,,
284083,"The Crew: The Quest for Planet Nine",2019,81,7.64094,7.78148,44664,0,,,,13,,,,
55690,"Kingdom Death: Monster",2015,82,7.63566,8.48451,9968,0,,,,,,,18,
28143,"Race for the Galaxy",2007,83,7.62587,7.74204,56923,0,,,,,,77,,
230802,Azul,2017,84,7.62372,7.73345,97824,0,2,,,15,,,,
157354,"Five Tribes: The Djinns of Naqala",2014,85,7.61723,7.76983,43095,0,,,,,,81,,
201808,"Clank!: A Deck-Building Adventure",2016,86,7.60917,7.77194,44447,0,,,,17,,91,,
72125,"Eclipse: New Dawn for the Galaxy",2011,87,7.60472,7.82502,28666,0,,,,,,82,,
159675,"Fields of Arle",2014,88,7.60046,8.02948,11587,0,,,,,,65,,
191189,"Aeon's End",2016,89,7.59748,7.88284,22100,0,,,,,,87,,
110327,"Lords of Waterdeep",2012,90,7.58849,7.73133,57158,0,,,,,,97,,
332772,Revive,2022,91,7.58736,8.10926,9685,0,,,,,,66,,
371942,"The White Castle",2023,92,7.58677,7.99171,14021,0,,,,,,73,,
322289,"Darwin's Journey",2023,93,7.58637,8.13712,9194,0,,,,,,64,,
93,"El Grande",1995,94,7.58485,7.76338,30726,0,,,,,,83,,
414317,Harmonies,2024,95,7.58445,8.02295,13727,0,3,,,14,,,,
229853,"Teotihuacan: City of Gods",2018,96,7.58317,7.85024,20845,0,,,,,,75,,
317985,"Beyond the Sun",2020,97,7.57706,7.89066,15987,0,,,,,,72,,
25613,"Through the Ages: A Story of Civilization",2006,98,7.57442,7.83184,19629,0,,,,,,74,,
366161,"Wingspan Asia",2022,99,7.57282,8.25034,7705,0,,,,11,,71,,
291453,SCOUT,2019,100,7.57143,7.81935,20937,0,,,,16,,,,
